,,,https://eclipse.gsfc.nasa.gov/SEcat5/SE1901-2000.html,,,Catalog of Solar Eclipses 1901 - 2100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Catalog Number,Calender Date (Year),Calender Date (Month) (in string),Calender Date (Day),Calender Date (Month) (in numbers),Number of Days between 2 Consecutive Eclipses (in numbers),TD of Greatest Eclipse,DELTA T,Luna Num,Saros Num,Eclipse Type,QLE,Gamma,Eclispe Magnitude,Latitude,Longitude,Sun Alt,Path Width (km),Central Duration (in minutes),Central Duration (in seconds),Central Duration (Total) in seconds
9283,1901,May,18,5,177.00,05:33:48,-1,-1220,136,T,n-,-0.3626,1.068,2S,98E,69,238,6,29,389
9284,1901,Nov,11,11,148.00,07:28:21,0,-1214,141,A,p-,0.4758,0.9216,11N,69E,62,336,11,1,661
9285,1902,Apr,8,4,29.00,14:05:06,0,-1209,108,Pe,-t,1.5024,0.0643,72N,142W,0,0,0,0,0
9286,1902,May,7,5,177.00,22:34:16,0,-1208,146,P,t-,-1.0831,0.8593,70S,125W,0,0,0,0,0
9287,1902,Oct,31,10,149.00,08:00:18,1,-1202,151,P,t-,1.1556,0.696,71N,101E,0,0,0,0,0
9288,1903,Mar,29,3,176.00,01:35:23,2,-1197,118,A,-p,0.8413,0.9767,56N,130E,32,153,1,53,113
9289,1903,Sep,21,9,178.00,04:39:52,2,-1191,123,T,-p,-0.8967,1.0316,58S,77E,26,241,2,12,132
9290,1904,Mar,17,3,176.00,05:40:44,3,-1185,128,A,nn,0.1299,0.9367,6N,95E,82,237,8,7,487
9291,1904,Sep,9,9,178.00,20:44:21,3,-1179,133,T,-n,-0.1625,1.0709,4S,135W,81,234,6,20,380
9292,1905,Mar,6,3,177.00,05:12:26,4,-1173,138,A,p-,-0.5768,0.9269,40S,117E,55,334,7,58,478
9293,1905,Aug,30,8,177.00,13:07:26,5,-1167,143,T,p-,0.5708,1.0477,42N,4W,55,192,3,46,226
9294,1906,Feb,23,2,148.00,07:43:20,5,-1161,148,P,t-,-1.2479,0.5386,71S,170W,0,0,0,0,0
9295,1906,Jul,21,7,30.00,13:14:19,6,-1156,115,P,-t,-1.3637,0.3355,69S,33W,0,0,0,0,0
9296,1906,Aug,20,8,147.00,01:12:50,6,-1155,153,P,t-,1.3731,0.3147,71N,66W,0,0,0,0,0
9297,1907,Jan,14,1,177.00,06:05:43,6,-1150,120,T,-p,0.8628,1.0281,38N,86E,30,189,2,25,145
9298,1907,Jul,10,7,177.00,15:24:32,7,-1144,125,A,-p,-0.6313,0.9456,17S,51W,51,258,7,23,443
9299,1908,Jan,3,1,177.00,21:45:22,8,-1138,130,T,-n,0.1934,1.0437,12S,145W,79,149,4,14,254
9300,1908,Jun,28,6,178.00,16:29:51,8,-1132,135,A,nn,0.1389,0.9655,31N,67W,82,126,4,0,240
9301,1908,Dec,23,12,176.00,11:44:28,9,-1126,140,H,n-,-0.4985,1.0024,53S,1W,60,10,0,12,12
9302,1909,Jun,17,6,178.00,23:18:38,10,-1120,145,H,t-,0.8957,1.0065,83N,124E,26,51,0,24,24
9303,1909,Dec,12,12,148.00,19:44:48,10,-1114,150,P,t-,-1.2456,0.5424,65S,86E,0,0,0,0,0
9304,1910,May,9,5,177.00,05:42:13,11,-1109,117,T,-t,-0.9437,1.06,48S,125E,19,594,4,15,255
9305,1910,Nov,2,11,177.00,02:08:32,12,-1103,122,P,-t,1.0603,0.8515,62N,155W,0,0,0,0,0
9306,1911,Apr,28,4,177.00,22:27:22,12,-1097,127,T,-n,-0.2294,1.0562,2N,152W,77,190,4,57,297
9307,1911,Oct,22,10,178.00,04:13:02,13,-1091,132,A,-n,0.3224,0.965,6N,121E,71,133,3,47,227
9308,1912,Apr,17,4,176.00,11:34:22,14,-1085,137,H,p-,0.528,1.0003,38N,11W,58,1,0,2,2
9309,1912,Oct,10,10,178.00,13:36:14,14,-1079,142,T,p-,-0.4149,1.0229,28S,40W,65,85,1,55,115
9310,1913,Apr,6,4,147.00,17:33:07,15,-1073,147,P,t-,1.3147,0.4244,61N,176E,0,0,0,0,0
9311,1913,Aug,31,8,30.00,20:52:12,15,-1068,114,P,-t,1.4512,0.1513,61N,27W,0,0,0,0,0
9312,1913,Sep,30,9,148.00,04:45:49,15,-1067,152,P,t-,-1.1005,0.8252,61S,12E,0,0,0,0,0
9313,1914,Feb,25,2,177.00,00:13:01,16,-1062,119,A,-p,-0.9416,0.9248,62S,113W,19,839,5,35,335
9314,1914,Aug,21,8,177.00,12:34:27,17,-1056,124,T,-p,0.7655,1.0328,54N,27E,40,170,2,14,134
9315,1915,Feb,14,2,177.00,04:33:20,17,-1050,129,A,nn,-0.2024,0.9789,24S,121E,78,77,2,4,124
9316,1915,Aug,10,8,177.00,22:52:25,18,-1044,134,A,nn,0.0124,0.9853,16N,161W,89,52,1,33,93
9317,1916,Feb,3,2,178.00,16:00:21,18,-1038,139,T,p-,0.4987,1.028,11N,68W,60,108,2,36,156
9318,1916,Jul,30,7,147.00,02:06:10,19,-1032,144,A,p-,-0.7709,0.9447,29S,132E,39,313,6,24,384
9319,1916,Dec,24,12,30.00,20:46:22,19,-1027,111,P,-t,-1.5321,0.0114,66S,32E,0,0,0,0,0
9320,1917,Jan,23,1,147.00,07:28:31,19,-1026,149,P,t-,1.1508,0.7254,63N,26E,0,0,0,0,0
9321,1917,Jun,19,6,30.00,13:16:21,20,-1021,116,P,-t,1.2857,0.4729,66N,150E,0,0,0,0,0
9322,1917,Jul,19,7,148.00,02:42:42,20,-1020,154,Pb,t-,-1.5101,0.0863,64S,102E,0,0,0,0,0
9323,1917,Dec,14,12,176.00,09:27:20,20,-1015,121,A,-t,-0.9157,0.9791,88S,125E,23,189,1,17,77
9324,1918,Jun,8,6,178.00,22:07:43,20,-1009,126,T,-p,0.4658,1.0292,51N,152W,62,112,2,23,143
9325,1918,Dec,3,12,177.00,15:22:02,21,-1003,131,A,-n,-0.2387,0.9383,36S,54W,76,236,7,6,426
9326,1919,May,29,5,177.00,13:08:55,21,-997,136,T,n-,-0.2955,1.0719,4N,17W,73,244,6,51,411
9327,1919,Nov,22,11,178.00,15:14:12,21,-991,141,A,p-,0.4549,0.9198,7N,49W,63,341,11,37,697
9328,1920,May,18,5,176.00,06:14:55,21,-985,146,P,t-,-1.0239,0.9734,69S,108E,0,0,0,0,0
9329,1920,Nov,10,11,149.00,15:52:15,22,-979,151,P,t-,1.1287,0.742,70N,30W,0,0,0,0,0
9330,1921,Apr,8,4,176.00,09:15:01,22,-974,118,A,-t,0.8869,0.9753,64N,6E,27,192,1,50,110
9331,1921,Oct,1,10,178.00,12:35:58,22,-968,123,T,-p,-0.9383,1.0293,66S,56W,20,291,1,52,112
9332,1922,Mar,28,3,177.00,13:05:26,23,-962,128,A,nn,0.1711,0.9381,12N,18W,80,233,7,50,470
9333,1922,Sep,21,9,177.00,04:40:31,23,-956,133,T,-n,-0.213,1.0678,11S,105E,78,226,5,59,359
9334,1923,Mar,17,3,177.00,12:44:58,23,-950,138,A,p-,-0.5438,0.931,33S,2E,57,305,7,51,471
9335,1923,Sep,10,9,177.00,20:47:29,23,-944,143,T,p-,0.5149,1.043,35N,122W,59,167,3,37,217
9336,1924,Mar,5,3,148.00,15:44:20,24,-938,148,P,t-,-1.2232,0.5819,72S,56E,0,0,0,0,0
9337,1924,Jul,31,7,30.00,19:58:20,24,-933,115,P,-t,-1.4459,0.192,70S,146W,0,0,0,0,0
9338,1924,Aug,30,8,147.00,08:23:00,24,-932,153,P,t-,1.3123,0.4245,71N,173E,0,0,0,0,0
9339,1925,Jan,24,1,177.00,14:54:03,24,-927,120,T,-p,0.8661,1.0304,40N,50W,30,206,2,32,152
9340,1925,Jul,20,7,178.00,21:48:42,24,-921,125,A,-p,-0.7193,0.9436,25S,150W,44,300,7,15,435
9341,1926,Jan,14,1,176.00,06:36:58,24,-915,130,T,-n,0.1973,1.043,10S,82E,79,147,4,11,251
9342,1926,Jul,9,7,178.00,23:06:02,24,-909,135,A,nn,0.0538,0.968,26N,165W,87,115,3,51,231
9343,1927,Jan,3,1,177.00,20:22:53,24,-903,140,A,n-,-0.4956,0.9995,53S,125W,60,2,0,3,3
9344,1927,Jun,29,6,178.00,06:23:27,24,-897,145,T,t-,0.8163,1.0128,78N,74E,35,77,0,50,50
9345,1927,Dec,24,12,147.00,03:59:41,24,-891,150,P,t-,-1.2416,0.549,66S,48W,0,0,0,0,0
9346,1928,May,19,5,29.00,13:24:20,24,-886,117,T-,-t,-1.0048,1.014,63S,22E,0,0,0,0,0
9347,1928,Jun,17,6,148.00,20:27:28,24,-885,155,Pb,t-,1.5107,0.0375,66N,71E,0,0,0,0,0
9348,1928,Nov,12,11,178.00,09:48:24,24,-880,122,P,-t,1.0861,0.8078,63N,81E,0,0,0,0,0
9349,1929,May,9,5,176.00,06:10:34,24,-874,127,T,-n,-0.2887,1.0562,2N,93E,73,193,5,7,307
9350,1929,Nov,1,11,178.00,12:05:10,24,-868,132,A,-n,0.3514,0.9649,4N,3E,69,134,3,54,234
9351,1930,Apr,28,4,176.00,19:03:34,24,-862,137,H,p-,0.473,1.0003,39N,121W,62,1,0,1,1
9352,1930,Oct,21,10,179.00,21:43:53,24,-856,142,T,p-,-0.3804,1.023,31S,161W,67,84,1,55,115
9353,1931,Apr,18,4,147.00,00:45:35,24,-850,147,P,t-,1.2643,0.5107,61N,59E,0,0,0,0,0
9354,1931,Sep,12,9,29.00,04:41:25,24,-845,114,Pe,-t,1.506,0.0471,61N,153W,0,0,0,0,0
9355,1931,Oct,11,10,148.00,12:55:40,24,-844,152,P,t-,-1.0607,0.9005,61S,119W,0,0,0,0,0
9356,1932,Mar,7,3,177.00,07:55:50,24,-839,119,A,-p,-0.9673,0.9277,61S,134E,14,1083,5,19,319
9357,1932,Aug,31,8,177.00,20:03:41,24,-833,124,T,-p,0.8307,1.0257,54N,79W,34,155,1,45,105
